task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
110	4d/f15b0a	2505499	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX16990730_SRR20973040)	CACHED	0	2025-06-04 17:06:29.602	4m 39s	4m 38s	523.6%	160.6 MB	942.5 MB	28 GB	28.6 GB
122	30/f3be72	2527019	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (ERX5184869_ERR5400142)	CACHED	0	2025-06-04 17:15:05.625	8.5s	7s	91.5%	93.8 MB	912.7 MB	292.5 MB	288.7 MB
113	45/daa2f5	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX13440217_SRR17262066)	COMPLETED	-	2025-06-04 17:23:55.541	12ms	1ms	-	-	-	-	-
117	90/7c6294	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX21588694_SRR25867284)	COMPLETED	-	2025-06-04 17:23:55.545	28ms	0ms	-	-	-	-	-
120	62/be873f	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX6755149_SRR10017190)	COMPLETED	-	2025-06-04 17:23:55.547	28ms	1ms	-	-	-	-	-
114	58/a0eafd	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX27315411_SRR31960004)	COMPLETED	-	2025-06-04 17:23:55.543	29ms	1ms	-	-	-	-	-
132	98/98cbbb	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX24653055_SRR29129354)	COMPLETED	-	2025-06-04 17:23:55.546	28ms	1ms	-	-	-	-	-
123	af/0a004b	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX24583791_SRR29059102)	COMPLETED	-	2025-06-04 17:23:55.549	28ms	2ms	-	-	-	-	-
124	8a/d29098	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX19467387_SRR23580682)	COMPLETED	-	2025-06-04 17:23:55.550	29ms	1ms	-	-	-	-	-
127	bd/a01f17	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX1617782_SRR3209113)	COMPLETED	-	2025-06-04 17:23:55.554	103ms	1ms	-	-	-	-	-
133	16/7cbc5f	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX20230124_SRR24442882)	COMPLETED	-	2025-06-04 17:23:55.556	104ms	2ms	-	-	-	-	-
125	b8/3e9bae	-	NFCORE_FETCHNGS:SRA:SRA_TO_SAMPLESHEET (SRX26211983_SRR30811281)	COMPLETED	-	2025-06-04 17:23:55.552	102ms	2ms	-	-	-	-	-
